Nombre cliente,aviso_padre, IDaviso,Provincia,Ciudad,Zona/colonia,Zona aviso,Tipo de operación,Tipo de propiedad,Tipo de aviso,Destaque,Moneda,Precio,Mt2 totales,Ambientes,Habitaciones,Impresiones,Visitas,Leads,Calidad
CRESTALE PROPIEDADES S.A.,NO,54417794,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$256.400,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417795,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$291.600,88,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417796,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$260.900,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,54426001,Santa Fe,Funes,Zona 15,San Sebastián,Venta,Casa,Avisos,Super Destacado,USD,$550.000,800,6,9,1.837,24,,Completo
CRESTALE PROPIEDADES S.A.,SI,55347478,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Apartamento,Avisos,Super Destacado,USD,$68.000,74,2,2,2.188,39,2,Completo
CRESTALE PROPIEDADES S.A.,SI,55354932,Santa Fe,Rosario,Distrito Centro,,Venta,Apartamento,Avisos,Simple,USD,$185.000,74,3,4,98,2,,Completo
CRESTALE PROPIEDADES S.A.,SI,55354952,Santa Fe,Rosario,Distrito Centro,Echesortu,Venta,Apartamento,Avisos,Simple,USD,$64.000,40,1,0,152,4,,Completo
CRESTALE PROPIEDADES S.A.,SI,55358158,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Apartamento,Avisos,Simple,USD,$65.000,43,2,2,1.006,4,,Completo
CRESTALE PROPIEDADES S.A.,SI,55358225,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Apartamento,Avisos,Super Destacado,USD,$415.000,150,3,4,1.166,2,,Completo
CRESTALE PROPIEDADES S.A.,SI,55372857,Santa Fe,Rosario,Distrito Centro,,Venta,Apartamento,Avisos,Simple,USD,$238.199,166,3,2,37,1,,Completo
CRESTALE PROPIEDADES S.A.,SI,55377868,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Apartamento,Avisos,Simple,USD,$78.000,47,2,1,160,2,,Completo
CRESTALE PROPIEDADES S.A.,SI,55377963,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Apartamento,Avisos,Super Destacado,USD,$115.000,93,3,2,1.567,19,1,Completo
CRESTALE PROPIEDADES S.A.,SI,55377987,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Apartamento,Avisos,Simple,USD,$94.528,57,2,1,96,0,,Completo
CRESTALE PROPIEDADES S.A.,SI,55378718,Santa Fe,Rosario,Distrito Centro,,Venta,Apartamento,Avisos,Simple,USD,$92.026,52,2,1,95,0,,Completo
CRESTALE PROPIEDADES S.A.,SI,55378878,Santa Fe,Rosario,Distrito Centro,,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,1.512,6,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55378879,Santa Fe,Rosario,Distrito Centro,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$85.000,50,0,1,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55378882,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,2.016,13,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55378883,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Garage,Desarrollos,Super Destacado,USD,$16.576,12,0,0,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55378884,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Apartamento,Desarrollos,Super Destacado,USD,$49.500,36,1,0,0,3,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55378886,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Garage,Desarrollos,Super Destacado,USD,$16.000,12,0,0,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55378889,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,2.048,9,1,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55378890,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Garage,Desarrollos,Super Destacado,USD,$0,0,0,0,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55378895,Santa Fe,Rosario,Distrito Centro,Martín,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,1.897,2,2,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55378896,Santa Fe,Rosario,Distrito Centro,Martín,Venta,Garage,Desarrollos,Super Destacado,USD,$18.556,0,0,0,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55378963,Santa Fe,Rosario,Distrito Centro,,Alquiler,Apartamento,Desarrollos,Super Destacado,Pesos Argentinos,$350.000,46,,,0,8,1,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55379085,Santa Fe,Rosario,Distrito Centro,,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,4.454,22,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55379137,Santa Fe,Rosario,Distrito Centro,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$92.026,52,2,1,0,1,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55379138,Santa Fe,Rosario,Distrito Centro,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$96.806,52,2,1,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54430285,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$356.700,107,4,3,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54430286,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$339.900,104,4,3,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54430287,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$356.700,107,4,3,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54430374,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$356.700,108,4,3,0,0,,Sin Datos
